,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.629687488079071,0.9138494729995728,9.999999747378752e-06,0.7262773513793945,0.7177754640579224
1,0.9142187237739563,0.27291351556777954,4.8000001697801054e-05,0.930656909942627,0.18634988367557526
2,0.9645312428474426,0.1145346611738205,8.600000001024455e-05,0.956204354763031,0.12917715311050415
3,0.9814062714576721,0.06600869446992874,0.00012399999832268804,0.9270073175430298,0.2756311297416687
4,0.9806249737739563,0.06269070506095886,0.00016199999663513154,0.9525547623634338,0.19542549550533295
5,0.9845312237739563,0.06006661430001259,0.00019999999494757503,0.9525547623634338,0.16935597360134125
6,0.9923437237739563,0.02963848039507866,0.00016199999663513154,0.9379562139511108,0.21237248182296753
7,0.9967187643051147,0.016168341040611267,0.00013159999798517674,0.9525547623634338,0.15266859531402588
8,0.9998437762260437,0.005738219246268272,0.00010728000052040443,0.9671533107757568,0.12025095522403717
9,0.9987499713897705,0.0071059949696063995,8.782400254858658e-05,0.9671533107757568,0.12545116245746613
10,0.9996874928474426,0.003366683144122362,7.225920126074925e-05,0.956204354763031,0.18247762322425842
11,0.9996874928474426,0.0022558728232979774,5.980736023047939e-05,0.9635036587715149,0.13403718173503876
12,0.9993749856948853,0.0044971550814807415,4.984588667866774e-05,0.956204354763031,0.1446201503276825
13,1.0,0.0017139938427135348,4.187671220279299e-05,0.956204354763031,0.1395549327135086
14,0.9995312690734863,0.004242679104208946,3.550136898411438e-05,0.9635036587715149,0.13580729067325592
15,0.9993749856948853,0.0021992402616888285,3.0401095500565134e-05,0.970802903175354,0.11577638238668442
16,0.9990624785423279,0.00427624536678195,2.6320874894736335e-05,0.9635036587715149,0.14143958687782288
17,0.9989062547683716,0.0037539980839937925,2.30567002290627e-05,0.9635036587715149,0.15039096772670746
18,1.0,0.0014613026287406683,2.044536086032167e-05,0.9525547623634338,0.16640308499336243
19,0.9990624785423279,0.004692557267844677,1.8356287910137326e-05,0.959854006767273,0.17335817217826843
