,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.3166666626930237,1.375961422920227,9.999999747378752e-06,0.29197078943252563,1.3864463567733765
1,0.3916666805744171,1.3492608070373535,4.8000001697801054e-05,0.22262774407863617,1.393130898475647
2,0.3499999940395355,1.3287575244903564,8.600000001024455e-05,0.2700729966163635,1.3686060905456543
3,0.3333333432674408,1.2781673669815063,0.00012399999832268804,0.34306567907333374,1.3284378051757812
4,0.375,1.2421015501022339,0.00016199999663513154,0.17518247663974762,1.471383810043335
5,0.40833333134651184,1.215627670288086,0.00019999999494757503,0.08394160866737366,1.544806718826294
6,0.3916666805744171,1.1817044019699097,0.00016199999663513154,0.24087591469287872,1.4284930229187012
7,0.5416666865348816,1.099830985069275,0.00013159999798517674,0.2700729966163635,1.4984278678894043
8,0.7833333611488342,0.7612541317939758,0.00010728000052040443,0.569343090057373,0.8861192464828491
9,0.7666666507720947,0.7334023118019104,8.782400254858658e-05,0.6715328693389893,0.6666970252990723
10,0.8666666746139526,0.4715953469276428,7.225920126074925e-05,0.7773722410202026,0.5691738128662109
11,0.8666666746139526,0.4624010920524597,5.980736023047939e-05,0.7189781069755554,0.6363518834114075
12,0.8666666746139526,0.48581427335739136,4.984588667866774e-05,0.7335766553878784,0.5769504904747009
13,0.8999999761581421,0.3436623811721802,4.187671220279299e-05,0.7481752038002014,0.6089478135108948
14,0.8916666507720947,0.3733116686344147,3.550136898411438e-05,0.7226277589797974,0.6953163146972656
15,0.9083333611488342,0.3862228989601135,3.0401095500565134e-05,0.7226277589797974,0.7057539820671082
16,0.9166666865348816,0.2831878960132599,2.6320874894736335e-05,0.6751824617385864,0.7984436750411987
17,0.925000011920929,0.27942517399787903,2.30567002290627e-05,0.6240875720977783,0.9207719564437866
18,0.949999988079071,0.22733376920223236,2.044536086032167e-05,0.5912408828735352,1.055045247077942
19,0.8916666507720947,0.34777703881263733,1.8356287910137326e-05,0.514598548412323,1.3302627801895142
